Titre en anglais,Titre en Japonais,Editeurs,Numéro de série,Date,Main Category,Sub Category
Power Lode Runner,パワーロードランナー,任天堂 / アトリエドゥーブル / Nintendo / Atelier Double / Broderbund,SHVC-BPLJ-JPN,1999-01-01,Puzzle,
Power Monger - Mashou no Bouryaku,パワーモンガー 〜魔将の謀略〜,イマジニア / エレクトロニック・アーツ / Imagineer / Bullfrog / Electronic Arts,SHVC-PM,1993-03-26,Strategy,
Power Of The Hired,パワー オブ ザ ハイアード,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-ALUJ-JPN,1994-12-22,RPG,
Power Soukoban,パワー倉庫番,任天堂 / アトリエドゥーブル / シンキングラビット / Nintendo / Atelier Double / Thinking Rabbit,SHVC-BPSJ-JPN,1999-01-01,Puzzle,Réflexion
Prince Of Persia,プリンス オブ ペルシャ,メサイヤ（日本コンピューターシステム） / ブロダーバンド / Masiya (NCS) / Broderbund / Arsys,SHVC-PR / SNS-PR,1992-07-03 / 1992-11-01,Aventure,
Princess Maker - Legend of Another World,プリンセスメーカー レジェンド・オブ・アナザーワールド,タカラ / ガイナックス / Takara / Gainax,SHVC-AOIJ-JPN,1995-12-15,Strategy,
Princess Minerva,プリンセス・ミネルバ,"ビック東海 / アトリエドゥーブル, レッド / リバーヒルソフト / Vic Tokai / Atelier Double, RED / Riverhill Soft",SHVC-AVAJ-JPN,1995-06-23,RPG,
Pro Football,プロフットボール,イマジニア / エレクトロニック・アーツ / Imagineer / Electronic Arts,SHVC-FB,1992-01-17,Sports,Football
Pro Football '93,プロフットボール'93,エレクトロニック・アーツ・ビクター / Electronic Arts Victor,SHVC-JM,1993-02-12,Sports,Football
Pro Kishi Jinsei Simulation: Shougi no Hanamichi,プロ棋士人生シミュレーション 将棋の花道,アトラス / Atlus,SHVC-AARJ-JPN,1996-02-16,Table Game,Shougi
Pro Mahjong Kiwame,プロ麻雀 極,アテナ / Athena,SHVC-ZZ,1993-06-11,Table Game,Mahjong
Pro Mahjong Kiwame 2,プロ麻雀 極II,アテナ / Athena,SHVC-ZO,1994-07-22,Table Game,Mahjong
Pro Mahjong Kiwame 3,プロ麻雀 極III,アテナ / Athena,SHVC-AZ3J-JPN,1995-06-30,Table Game,Mahjong
Pro Mahjong Tsuwamono,プロ麻雀 兵 つわもの,カルチャーブレーン / Culture Brain,SHVC-AQZJ-JPN,1997-04-18,Table Game,Mahjong
Pro Soccer,プロサッカー,イマジニア / Imagineer / Anco Software,SHVC-PS,1991-09-20,Sports,Soccer
Pro Yakyuu Nettou: Puzzle Stadium,プロ野球熱闘ぱずるスタジアム,ココナッツジャパン エンターテイメント / Coconuts Japan Entertainment,SHVC-A97J-JPN,1997-04-25,Puzzle,
Pro Yakyuu Star,プロ野球スター,カルチャーブレーン / Culture Brain,SHVC-AU4J-JPN,1997-01-17,Sports,Baseball
Psycho Dream,サイコドリーム,ライオット（日本テレネット） / Riot (Telenet Japan),SHVC-PY,1992-12-11,Beat 'em All,
Putty Moon,パティームーン,バリエ / Varie / System 3 Arcade Software,SHVC-PU,1993-07-30,Platformer,
Puzzle Bobble,パズルボブル,タイトー / Taito,SHVC-AYKJ-JPN / SNS-AYKE-USA,1995-01-13,Puzzle,Matching
Puzzle'n Desu!,ぱずるんでス！,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-ASUJ-JPN,1995-04-14,Puzzle,
Q*Bert 3,キュー＊バート3,バップ / VAP (NTV),SHVC-Q3,1993-01-29,Arcade,Retro
R-Type 3 - The Third Lightning,アールタイプ3 ザ・サードライトニング,アイレム / IREM,SHVC-ER / SNS-ER,1993-12-10,SHMUP,Horizontal
Radical Psycho Machine Racing,R.P.M.レーシング,ビクター音楽産業 / Victor Musical Industries / Interplay,SHVC-V3,1992-03-19,Racing,Fun
Raiden Densetsu,雷電伝説,東映動画 / マイクロニクス / セイブ開発 / Toei Animation / Micronics / Seibu Kaihatsu,SHVC-RD,1991-11-29,SHMUP,Vertical
Ramos Rui no World Wide Soccer,ラモス瑠偉の ワールドワイドサッカー,"パック・イン・ビデオ / エレクトロブレイン / Pack-in-Video / Electro Brain, Sculptured Software",SHVC-6K,1994-02-25,Sports,Soccer
Ranma 1/2 - Akanekodan Teki Hihou,らんま1/2 朱猫団的秘宝,"東宝, 小学館プロダクション / るーみっくソフト, アトリエドゥーブル / Shogakukan Production / TOHO / Rumic Soft / Atelier Double/",SHVC-R4,1993-10-22,RPG,
Ranma 1/2 - Bakuretsu Rantou Hen,らんま1/2 爆烈乱闘篇,"メサイヤ （日本コンピューターシステム, ネットワークエキスプレス / アトリエドゥーブル / 小学館プロダクション / Masiya (NCS) / Atelier Double / Shogakukan Production",SHVC-R2,1992-12-25,Fighting,Versus
Ranma 1/2 - Chougi Ranbu Hen,らんま1/2 超技乱舞篇,"小学館プロダクション / 東宝, るーみっくソフト, アトリエドゥーブル / Shogakukan Production / TOHO / Rumic Soft / Atelier Double/",SHVC-5K,1994-04-28,Fighting,Versus
Ranma 1/2 - Chounai Gekitou Hen,らんま1/2 町内激闘篇,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-RA,1992-03-27,Fighting,Versus
Ranma 1/2 - Ougi Jaanken,らんま1/2 奥義邪暗拳,小学館プロダクション / 東宝 / るーみっくソフト / アウトバック / アトリエドゥーブル / Shogakukan Production / TOHO / Rumic Soft / Atelier Double/ Outback,SHVC-ARPJ-JPN,1995-07-21,Puzzle,
Rejoice! Aretha Oukoku no Kanata,アレサ外伝 リジョイス アレサ王国の彼方,やのまん / 日本アートメディア / Yanoman / Japan Art Media (JAM),SHVC-AYRJ-JPN,1995-04-21,RPG,Action
Rendering Ranger R2,レンダリング・レンジャー R2,ヴァージンインタラクティブ エンターテインメント / Virgin Interactive Entertainment / Rainbow Arts,SHVC-AVCJ-JPN,1995-11-17,SHMUP,Horizontal
Res Arcana - Diana Ray - Uranai no Meikyuu,レース アルカーナ ディアーナ・レイ 占いの迷宮,ココナッツジャパン エンターテイメント / Coconuts Japan Entertainment,SHVC-ARAJ-JPN,1995-04-14,Simulation,Divination
Return of Double Dragon,リターン・オブ・双截龍 （ダブルドラゴン）,テクノスジャパン / Technos Japan,SHVC-WD,1992-10-16,Beat 'em All,
Revolution X,レボリューションX,"アクレイムジャパン / Acclaim Japan / Ljn, RAGE",SHVC-AXRJ-JPN / SNS-AXRE-USA,1996-03-01 / 1995-01-01,Shooter,Target
Riddick Bowe Boxing,リディック・ボウ ボクシング,マイクロネット / Micronet / Extreme Entertainment,SHVC-XG / SNS-XG,1993-11-23 / 1994-01-01,Sports,Boxing
Ring ni Kakero,リングにかけろ,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-ARKJ-JPN,1998-06-01,Sports,Boxing
Rise Of The Robots,ライズ オブ ザ ロボッツ,ティーアンドイーソフト / T&E Soft / Mirage,SHVC-AROJ-JPN / SNS-AROE-USA,1994-12-22 / 1994-12-01,Fighting,Versus
Riverse Kids,りばーすきっず,JAP! / Software Editing Machine (SEM) / Atmark / JAP! / Software Editing Machine (SEM) / Atmark,SEM-BOARD,1997-01-01,Adult,
Rock N' Roll Racing,ロックンロールレーシング,"ナムコ / Namcot / Interplay, Silicon & Synapse",SHVC-RN / SNS-RN,1994-01-03 / 1993-01-01,Racing,Fun
Rockman & Forte,ロックマン＆フォルテ,カプコン / Capcom,SHVC-AR6J-JPN,1998-04-24,Platformer,
Rockman 7 - Shukumei no Taiketsu!,ロックマン7 宿命の対決！,カプコン / Capcom,SHVC-A7RJ-JPN / SNS-A7RE-USA,1995-03-24,Platformer,
Rockman X,ロックマンエックス,カプコン / Capcom,SHVC-RX,1993-12-17,Platformer,
Rockman X2,ロックマンエックス2,カプコン / Capcom,SHVC-ARXJ-JPN / SNS-ARXE-USA,1994-12-16,Platformer,
Rockman X3,ロックマンエックス3,カプコン / Capcom,SHVC-AR3J-JPN / SNS-AR3E-USA,1995-12-01,Platformer,
Rockman's Soccer,ロックマンズサッカー,カプコン / Capcom,SHVC-RQ,1994-03-25,Sports,Soccer
Roger Clemens' MVP Baseball,MVPベースボール,"アクレイムジャパン, ヒロ / Acclaim Japan, HIRO",SHVC-VP / SNS-VP,1993-08-27 / 1992-09-01,Sports,Baseball
Rokudenashi Blues - Taiketsu! Tokyo Shitennou,ろくでなし ブルース 対決！東京四天王,バンダイ / Bandai,SHVC-6X,1994-04-15,Fighting,Versus
Romancing Sa-Ga,ロマンシング サ·ガ,スクウェア / Square,SHVC-RS,1992-01-28,RPG,
Romancing Sa-Ga 2,ロマンシング サ·ガ2,スクウェア / Square,SHVC-2L,1993-12-10,RPG,
Romancing Sa-Ga 3,ロマンシング サ·ガ3,スクウェア / Square,SHVC-AL3J-JPN,1995-11-11,RPG,
Royal Conquest,ロイヤルコンクエスト,"ジャレコ, デーシーイー / Jaleco, DCE / Argonaut",SHVC-RC,1992-11-27,Strategy,
RPG Tsukuru 2,RPGツクール2,アスキー / 空想科学 / サクセス / ASCII / Kuusoukagaku / Success,SHVC-ZR2J-JPN,1996-01-31,RPG,Maker
RPG Tsukuru Super Dante,RPGツクール スーパーダンテ,アスキー / 空想科学 / ASCII / Kuusoukagaku,SHVC-ARDJ-JPN,1995-03-31,RPG,Maker
Rudra no Hihou,ルドラの秘宝,スクウェア / Square,SHVC-AORJ-JPN,1996-04-05,RPG,
Ruin Arm,ルインアーム,バンダイ / プレックス / Bandai / Plex,SHVC-AINJ-JPN,1995-06-23,RPG,Action
Rushing Beat,ラッシング・ビート,ジャレコ / Jaleco,SHVC-RB,1992-03-27,Beat 'em All,
Rushing Beat Ran - Fukusei Toshi,ラッシング・ビート乱複製都市,ジャレコ / Jaleco,SHVC-RE,1992-12-22,Beat 'em All,
Rushing Beat Shura,ラッシング・ビート 修羅,ジャレコ / Jaleco,SHVC-R6,1993-12-17,Beat 'em All,
Ryuu Kihei Dan Danzarubu,龍騎兵団ダンザルブ,バンダイ / ユタカ / パンドラボックス / Bandai / Yutaka / Pandora Box,SHVC-DA,1993-04-23,RPG,
Ryuuko no Ken,龍虎の拳,ケイ・アミューズメントリース / エス・エヌ・ケイ / K. Amusement Leasing Co. / SNK,SHVC-RW,1993-10-29,Fighting,Versus
Ryuuko no Ken 2,龍虎の拳2,ザウルス / エス・エヌ・ケイ / Saurus / SNK,SHVC-AAFJ-JPN,1994-12-21,Fighting,Versus
Saibara Reiko no Mahjong Hourouki,さいばらりえこの まあじゃんほうろうき,タイトー / Taito,SHVC-AJNJ-JPN,1995-02-10,Table Game,Mahjong
Saikousoku Shikou Shougi Mahjong,最高速思考 将棋麻雀,バリエ / Varie,SHVC-ASYJ-JPN,1995-03-31,Table Game,Shougi
Saikyou Takada Nobuhiko,ザ・プロレスリング 最強 高田延彦,ハドソン/デュアル / Hudson / Dual,SHVC-AS7J-JPN,1995-12-27,Sports,Wrestling
Sakurai Shouichi no Jankiryuu - Mahjong Hisshouhou,桜井章一の雀鬼流麻雀必勝法,サミー / Sammy,SHVC-AMZJ-JPN,1995-09-14,Table Game,Mahjong
Same Game Tsume Game,SAME GAME（さめがめ）鮫亀,ハドソン / Hudson,SHVC-ZS5J-JPN,1996-03-01,Puzzle,
Samurai Spirits,サムライスピリッツ （侍魂）,タカラ / エス・エヌ・ケイ / Takara / SNK,SHVC-A7SJ-JPN / SNS-A7SE-USA,1994-09-22,Fighting,Versus
Sandra no Daibouken - Valkyrie Tono Deai,サンドラの大冒険 ワルキューレとの出逢い,ナムコ / Namcot,SHVC-SH,1992-07-23,Platformer,
Sangokushi 4,三国志IV,光栄 / Koei,SHVC-AS4J-JPN / SNS-AS4E-USA,1994-12-09,Strategy,
Sangokushi Eiketsuden,三国志 英傑伝,光栄 / Koei,SHVC-A3AJ-JPN,1995-12-28,RPG,
Sangokushi III,三国志III,光栄 / Koei,SHVC-S3,1992-11-08,Strategy,
Sangokushi Seishi - Tenbu Spirits,三国志正史 天舞スピリッツ,ウルフチーム（日本テレネット） / Wolfteam (Telenet Japan),SHVC-W2,1993-06-25,Strategy,
Sankyo Fever! Fever!,Sankyo Fever! フィーバー！ パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AFFJ-JPN,1994-10-28,Gambling,Pachinko
Sanrio Shanghai,サンリオ上海,"アスキー, キャラクターソフト / 酒田エス・エー・エス / アクティビジョン / ASCII, Character Soft / Sakata SAS / Activision",SHVC-38,1994-08-31,Puzzle,
Sanrio World Smash Ball,サンリオワールド スマッシュボール,アスキー / サンリオ / キャラクターソフト / エイプ / トムキャットシステム / ASCII / SANRIO / Character Soft / APE / Tomcat System,SHVC-S7,1993-07-16,Sports,Dodgeball
Sansara Naga 2,サンサーラ・ナーガ2,ビクターエンタテインメント / Victor Entertainment,SHVC-IV,1994-07-15,RPG,
Sargeant Saunder's Combat!,サージェント・サンダース・コンバット！,アスキー / チキンヘッド / ASCII / Chickenhead / Play Avenue,SHVC-AJAJ-JPN,1995-09-29,Strategy,
SD F-1 Grand Prix,SD F-1 グランプリ,ビデオシステム / Video System,SHVC-AGFJ-JPN,1995-10-27,Racing,Formule 1
SD Gundam - The Great Battle 3,ザ・グレイトバトルIII,バンプレスト / Banpresto,SHVC-B3,1993-03-26,Platformer,Action
SD Gundam - The Great Battle 4,ザ・グレイトバトルIV,バンプレスト / Banpresto,SHVC-4F,1994-12-17,Platformer,Action
SD Gundam - The Great Battle 5,ザ・グレイトバトルV,バンプレスト / Banpresto,SHVC-AG5J-JPN,1995-12-22,Platformer,Action
SD Gundam - The Great Battle Gaiden 2: Matsuri da Wasshoi,ザ・グレイトバトル外伝2 祭だワッショイ,バンプレスト / Banpresto,SHVC-K8,1994-01-28,Platformer,Action
SD Gundam - The Great Battle II - Last Fighter Twin,ザ・グレイトバトルII ラストファイター ツイン,バンプレスト / Banpresto,SHVC-3L,1992-03-27,Platformer,Action
SD Gundam Gaiden - Knight Gundam Monogatari - Ooinaru Isan,SDガンダム外伝 ナイトガンダム物語 大いなる遺産,エンジェル / バンダイ / Angel / Bandai,SHVC-KG,1991-12-21,RPG,
SD Gundam Gaiden 2 - Entaku no Kishi,SDガンダム外伝2 円卓の騎士,"バンダイ, ユタカ / Bandai, Yutaka",SHVC-EN,1992-12-18,RPG,
SD Gundam Generation - Colony Kakutouki,SDガンダムジェネレーション コロニー格闘記,バンダイ / トムクリエイト / Bandai / Tom Create,SFT-0111-JPN,1996-09-27,Strategy,
SD Gundam Generation A - Ichinen Sensouki,SDガンダムジェネレーション 一年戦争記,バンダイ / トムクリエイト / Bandai / Tom Create,SFT-0104-JPN,1996-07-26,Strategy,
SD Gundam Generation B - Gryps Senki,SDガンダムジェネレーション グリプス戦記,バンダイ / トムクリエイト / Bandai / Tom Create,SFT-0105-JPN,1996-07-26,Strategy,
SD Gundam Generation C - Axis Senki,SDガンダムジェネレーション アクシズ戦記,バンダイ / トムクリエイト / Bandai / Tom Create,SFT-0107-JPN,1996-08-23,Strategy,
SD Gundam Generation D - Babylonia Kenkoku Senki,SDガンダムジェネレーション バビロニア建国戦記,バンダイ / トムクリエイト / Bandai / Tom Create,SFT-0108-JPN,1996-08-23,Strategy,
SD Gundam Generation E - Zansukaaru Senki,SDガンダムジェネレーション ザンスカール戦記,バンダイ / トムクリエイト / Bandai / Tom Create,SFT-0110-JPN,1996-09-27,Strategy,
SD Gundam GNext,SDガンダムGNEXT (ジーネクスト),バンダイ / Bandai,SHVC-ZX3J-JPN,1995-12-22,Strategy,
SD Gundam GX,SDガンダムGX,バンダイ / Bandai,SHVC-X2,1994-05-27,Strategy,
SD Gundam Power Formation Puzzle,SD ガンダム パワー フォーメーション パズル,バンダイ / トムクリエイト / Bandai / Tom Create,SHVC-AXXJ-JPN,1996-01-26,Puzzle,
SD Hiryuu no Ken,SD飛龍の拳,カルチャーブレーン / Culture Brain,SHVC-HL,1994-06-17,Fighting,Versus
SD Kidou Senshi Gundam - V Sakusen Shidou,SD機動戦士ガンダム V作戦始動,エンジェル / バンダイ / Angel / Bandai,SHVC-GM,1992-09-12,Platformer,Action
SD Kidou Senshi Gundam 2,SD機動戦士ガンダム2,エンジェル / バンダイ / Angel / Bandai,SHVC-ZG,1993-09-23,SHMUP,Horizontal
SD The Great Battle - Aratanaru Chousen,SD ザ・グレイトバトル 新たなる挑戦,バンプレスト / Banpresto,SHVC-BS,1990-12-29,Fighting,Versus
SD Ultra Battle - Seven Densetsu,SDウルトラバトル セブン伝説,バンダイ / トムクリエイト / Bandai / Tom Create,SFT-0102-JPN,1996-06-28,Fighting,Versus
SD Ultra Battle - Ultraman Densetsu,SDウルトラバトル ウルトラマン伝説,バンダイ / トムクリエイト / Bandai / Tom Create,SFT-0101-JPN,1996-06-28,Fighting,Versus
Seifuku Densetsu - Pretty Fighter,制服伝説 プリティ・ファイター,イマジニア/元気 / Imagineer / Genki,SHVC-ASFJ-JPN,1994-12-02,Fighting,Versus
Seijuu Maden - Beasts & Blades,聖獣魔伝 ビースト＆ブレイド,ビー・ピー・エス / オーアールジー / Bullet-Proof Software / ORG,SHVC-AB5J-JPN,1995-12-15,Strategy,
Seiken Densetsu 2,聖剣伝説2,スクウェア / Square,SHVC-K2 / SNS-K2,1993-08-06 / 1993-10-01,RPG,Action
Seiken Densetsu 3,聖剣伝説3,スクウェア / Square,SHVC-A3DJ-JPN,1995-09-30,RPG,
Sengoku Denshou,戦国伝承,データイースト / エス・エヌ・ケイ / Data East / SNK,SHVC-G5,1993-09-22,Beat 'em All,
Sengoku no Hasha - Tenka Nuno bu he no Michi,戦国の覇者 〜天下布武への道〜,バンプレスト / バンプレ企画/ゲームアーツ / Banpresto / Game Arts,SHVC-A8AJ-JPN,1995-12-22,Strategy,
Septentrion,セプテントリオン,"ヒューマン, フィールド / Human, Field",SHVC-TT,1993-05-28,Aventure,
Serizawa Nobuo no Birdie Try,バーディトライ 芹沢信雄の,東宝 / TOHO,SHVC-TS,1992-12-04,Sports,Golf
Shadowrun,シャドウラン,データイースト / Data East / Beam Software / FASA,SHVC-WR / SNS-WR,1994-03-25 / 1993-05-01,RPG,Action
Shanghai - Banri no Choujou,上海 万里の長城,サンソフト（サン電子） / アクティビジョン / Sunsoft (Sun Electronics) / Activision,SHVC-A4SJ-JPN,1995-11-17,Puzzle,
Shanghai 3,上海III,サンソフト（サン電子） / 空想科学 / アクティビジョン / Sunsoft (Sun Electronics) / Kuusoukagaku / Activision,SHVC-AS3J-JPN,1994-09-15,Table Game,
Shichuusui Meigaku Nyuumon Shin Tougenkyou,四柱推命学入門 真桃源郷,バンプレスト / バンプレ企画 / Banpresto,SHVC-AP8J-JPN,1995-09-22,Simulation,Strategy
Shien - The Blade Chaser,紫炎 ザ・ブレイドチェイサー,ダイナミック企画 / アルマニック / Dynamic / Almanic,SHVC-OO,1994-04-08,Shooter,Target
Shigetaka Kashiwagi no Top Water Bassing,柏木重孝の トップ ウォーター バッシング,バップ / VAP (NTV),SHVC-AVFJ-JPN,1995-02-17,Sports,Pêche
Shijou Saikyou League Serie A - Ace Striker,史上最強リーグ セリエA エースストライカー,ティー・エヌ・エヌ / TNN,SHVC-ATXJ-JPN,1995-03-31,Sports,Soccer
Shijou Saikyou no Quiz Ou Kettei Sen Super,スーパー史上最強のクイズ王決定戦,ヨネザワパーティールーム21 / エスパル / Yonezawa Party Room 21 / S'PAL,SHVC-QS,1992-12-28,Quiz,
